cod_adm,type_abb,name,denom_abb,denom_ext,denom_emp,name_abb,global_id,year_ctr,annofine,st_length
1380,VIA,VIA,G. DEL MAINO,GIASONE DEL MAINO,DEL MAINO,VIA G. DEL MAINO,{2935113F-6A00-4FC4-8829-EBBC0E345780},,,216.93308405200
1400,VIA,VIA,S. DEPRETIS,SIMONE DEPRETIS,DEPRETIS,VIA S. DEPRETIS,{FE3FAC8D-26FB-41F5-B752-561670584E50},,,218.41844827700
1405,VIA,VIA,F. DE SANCTIS,FRANCESCO DE SANCTIS,DE SANCTIS,VIA F. DE SANCTIS,{BB78C1B3-99B8-49EA-8A54-F24C7BF5E160},,,180.13813783400
1407,VIA,VIA,V. DE SICA,VITTORIO DE SICA,DE SICA,VIA V. DE SICA,{54DBBA2D-C738-40F4-9A10-C3EEEB16A32C},,,181.37177566900
1408,PLE,PIAZZALE,A. DE SIMONI,ALFIO DE SIMONI,DE SIMONI,PLE A. DE SIMONI,{00D774EC-A1EB-47A6-AF65-BB622B2BD600},,,301.23337056200
1410,VIA,VIA,A. DIAZ,ARMANDO DIAZ,DIAZ,VIA A. DIAZ,{2189C979-92B8-4161-A4A3-09D2818F1D81},,,201.18018910600
1415,VIA,VIA,G. DINI,GIANNETTO DINI,DINI,VIA G. DINI,{56C8A7C3-8B22-4A36-857F-1E4856592243},,,85.67721403900
1420,VIA,VIA,T. DIPLOVATAZIO,TOMMASO DIPLOVATAZIO,DIPLOVATAZIO,VIA T. DIPLOVATAZIO,{07F3B2C5-AFEE-4322-B8C0-E98487DAA4B8},,,68.76826656480
1425,VIA,VIA,A. DI VENTURA,ALMERICO DI VENTURA,DI VENTURA,VIA A. DI VENTURA,{69CDE34F-0C75-4F54-A0C4-3AFC49868AE4},,,174.83856913000
1426,VIA,VIA,DIVISIONE JULIA,DIVISIONE JULIA,DIVISIONE  JULIA,VIA DIVISIONE JULIA,{8A3B6FFC-F9DE-476B-9C54-6F92F5AB1C1F},,,209.92244893600
1427,VIA,VIA,DIVISIONE LEGNANO,DIVISIONE LEGNANO,DIVISIONE LEGNANO,V. DIVISIONE LEGNANO,{25A43F1F-FFFB-42A2-88B0-AFD777EE8946},,,615.20931506100
1428,VIA,VIA,DIVISIONE ACQUI,DIVISIONE ACQUI,DIVISIONE ACQUI,VIA DIVISIONE ACQUI,{6DDD3749-F812-4C5F-B7E3-11A194CFD58C},,,957.40706019500
1429,VIA,VIA,DIVISIONE MESSINA,DIVISIONE MESSINA,DIVISIONE MESSINA,V. DIVISIONE MESSINA,{E2E9FAD3-4CF4-4293-8F31-AC00A49816A9},,,190.09411216200
1430,VIA,VIA,G. DI VITTORIO,GIUSEPPE DI VITTORIO,DI VITTORIO,VIA G. DI VITTORIO,{3B5E32E5-542D-4F7A-A104-367C1E0309F7},,,314.84460236100
1435,VIA,VIA,G. DONIZETTI,GAETANO DONIZETTI,DONIZETTI,VIA G. DONIZETTI,{6F5A71F4-51AE-4A3E-8442-310FDBA7B055},,,113.75185552300
1440,VIA,VIA,E. DONZELLI,EMILIO DONZELLI,DONZELLI,VIA E. DONZELLI,{E0916ACD-470D-435F-B68B-467A00FC3E2E},,,302.10319618400
1445,VIA,VIA,DORA,DORA,DORA,VIA DORA,{FB6411DA-4459-468B-841F-EE9C7788567D},,,145.84511855700
1450,PZA,PIAZZA,DORIA,DORIA,DORIA,PZA DORIA,{8F3A8466-BB8D-4E9F-AE62-B20DFB095E4E},,,80.05543920290
1455,VIA,VIA,DELL'ECONOMIA,DELL'ECONOMIA,ECONOMIA,VIA DELL'ECONOMIA,{29DE07B5-4D67-4655-86DD-669AF6AAEA7F},,,834.25508880500
1460,VIA,VIA,L. EINAUDI,LUIGI EINAUDI,EINAUDI,VIA L. EINAUDI,{85B636AD-99C8-4818-A4C7-80B1650C8A5C},,,188.43786951100
1465,VIA,VIA,E. EMILI,EMILIO EMILI,EMILI,VIA E. EMILI,{15846D63-2780-41E6-A3F6-133330DD9CAB},,,55.95023647420
1470,VIA,VIA,DEGLI EROI,DEGLI EROI,EROI,VIA DEGLI EROI,{91800823-76A9-446A-892D-025444A4B8E2},,,166.02197375400
1475,VIA,VIA,ESINO,ESINO,ESINO,VIA ESINO,{F9BC33B9-A491-4038-A4FD-A6B4AAAAF374},,,55.45897469530
1480,VIA,VIA,DELL'ESPORTAZIONE,DELL'ESPORTAZIONE,ESPORTAZIONE,VIA DELL'ESPORTAZIONE,{C02D9BA9-4A80-4F33-BC03-08D1B97E1C3E},,,442.22379736800
1490,PZA,PIAZZA,EUROPA,EUROPA,EUROPA,PZA EUROPA,{2CFF1873-CB50-49D1-94CD-7152226AF6E2},,,39.43797119560
1500,STR,STRADA,DELLA FABBRINA,DELLA FABBRINA,FABBRINA,STR DELLA FABBRINA,{0C911856-F55F-4AA2-9B11-B99A91CA2A45},,,1517.07945517000
1505,VIA,VIA,FABRIANO,FABRIANO,FABRIANO,VIA FABRIANO,{B58B0D67-5BAB-4018-BEC2-566E94871431},,,264.44480010200
1510,VIA,VIA,FAENZA,FAENZA,FAENZA,VIA FAENZA,{C8FDD1F3-5C3A-4882-A43E-02FE59CA4255},,,185.56701626600
1800,VIA,VIA,R. FRONTALI,RAFFAELE FRONTALI,FRONTALI,VIA R. FRONTALI,{A2FAE5D8-147D-4CE0-853C-B1EDEEF3ADE3},,,252.90125871600
1515,VIA,VIA,A. FAGGI,ALFREDO FAGGI,FAGGI,VIA A. FAGGI,{9CFD403B-F818-4BC8-893A-984C6E30ABFD},,,340.56498633400
1520,STR,STRADA,DI FAGNANO,DI FAGNANO,FAGNANO,STR DI FAGNANO,{C0D0BCDF-2DC6-4469-87E1-40674ABD72BC},,,575.39369426000
1615,VIA,VIA,G. FERRARIS,GALILEO FERRARIS,FERRARIS,VIA G. FERRARIS,{D850B7FE-A2F4-47D2-8439-6CC6854D3534},,,586.62816067400
0,,,,,,,{9E57304A-FFE6-4FA1-B6AD-CED0C73C79C4},"2005",,228.65990989600
1525,STR,STRADA,FALCINETO,FALCINETO,FALCINETO,STR FALCINETO,{6F033567-CE42-4992-83C1-72576D4388E7},,,1400.12497908000
1530,STR,STRADA,DI FALCINO,DI FALCINO,FALCINO,STR DI FALCINO,{3148FBEA-4926-4FD0-82B0-1AEF5A983310},,,723.07458956500
1532,PLE,PIAZZALE,FALCONE-BORSELLINO,G.FALCONE-P.BORSELLINO,FALCONE - BORSELLINO,P. FALCONE-BORSELLINO,{2F890665-E996-4AE7-81DB-5099AE5F186C},,,42.47212731740
1535,VIA,VIA,DEL FALLO,DEL FALLO,FALLO,VIA DEL FALLO,{0C977287-0478-4C41-B49C-F6A3C43EA43B},,,80.61072734770
1540,VIA,VIA,FANO,FANO,FANO,VIA FANO,{4FB71C6F-B6B8-496A-B2E1-A4CDD9DDA350},,,104.88633091900
1545,VIA,VIA,M. FANTI,MANFREDO FANTI,FANTI,VIA M. FANTI,{3E13E97C-21AA-4E15-B8A1-77F52B299D7F},,,402.54111572800
1550,VIA,VIA,M. G. FARA,MARIO GIULIO FARA,FARA,VIA M. G. FARA,{9919EC6A-9FA1-498E-B37C-5F1A449C129A},,,83.78997006330
1555,VIA,VIA,C. FARINI,CARLO FARINI,FARINI,VIA C. FARINI,{E4CE1722-C4D5-48F6-8DE2-FD71CFEF1D0A},,,404.74791531000
1560,VIA,VIA,V. FARNESE,VITTORIA FARNESE,FARNESE,VIA V. FARNESE,{8A965561-9BB3-4D14-8BD5-AA01521C20FD},,,45.11619816380
1923,VIA,VIA,DEI GERANI,DEI GERANI,DEI GERANI,VIA DEI GERANI,{6127D742-FA20-4AC5-B71E-D50C079C5F5B},,,65.87545322720
1565,VIA,VIA,P. FASTIGGI,POMPILIO FASTIGGI,FASTIGGI,VIA P. FASTIGGI,{6AA1E8C3-F56D-4ABF-93D8-58A6641E3822},,,1794.72709820000
1570,VIA,VIA,FATTORI,FATTORI,FATTORI,VIA FATTORI,{E7BAB1D2-0F62-416C-9751-7AB485085895},,,123.35694237300
1575,VIA,VIA,R. FAVA,RENATO FAVA,FAVA,VIA R. FAVA,{46BEC9D9-D3C5-497D-AD6F-2A4D3B6A5164},,,161.51454994500
1580,VIA,VIA,FAZI,FAZI,FAZI,VIA FAZI,{63B60879-0EAC-4B6C-BF3E-54B65BC882AD},,,198.77443260400
1585,VIA,VIA,G. FEDELI,GASPARE FEDELI,FEDELI,VIA G. FEDELI,{03AD29D9-0F53-4C57-8C9F-0E588E30BAF5},,,386.20339597900
1590,VIA,VIA,V. FEDERICI,VINCENZO FEDERICI,FEDERICI,VIA V. FEDERICI,{3E42BF2C-D791-44AE-B2E6-1183E957E268},,,447.09249111700
2070,VIA,VIA,GRADISCA,GRADISCA,GRADISCA,VIA GRADISCA,{D2675CFA-9D2B-4DFD-9B03-9232A6E9E5C2},,,22.50264968490
1597,VIA,VIA,F. FELLINI,FEDERICO FELLINI,FELLINI,VIA F. FELLINI,{AD0BBAB9-7166-42E3-91CD-1CB58A9C7192},,,330.12579584600
1600,VIA,VIA,E. FERMI,ENRICO FERMI,FERMI,VIA E. FERMI,{072145B9-7FEC-4EE7-A2E6-C3F318CC1E55},,,163.04973605600
1610,VIA,VIA,G. FERRARI,GIUSEPPE FERRARI,FERRARI,VIA G. FERRARI,{62407B77-B9E8-448E-B546-9A5EED0C7EF4},,,93.02325696800
1618,VIA,VIA,M. FERRARO,MANLIO FERRARO,FERRARO,VIA M. FERRARO,{ECE1CB86-ECBA-4213-BB8B-A5386A8DC8EF},,,564.58266846700
1620,STR,STRADA,FERRATA,FERRATA,FERRATA,STR FERRATA,{3302A2BA-9A43-4997-B395-9208B0BEA403},,,666.83350897000
1625,VIA,VIA,FERRATA NORD,FERRATA NORD,FERRATA NORD,VIA FERRATA NORD,{AB2BBBB7-3567-4731-B4F8-8F142C9FBBFB},,,747.45508093300
1630,VIA,VIA,E. FERRI,ENRICO FERRI,FERRI,VIA E. FERRI,{9B15ACD8-C216-4CA0-8B25-3F04FA222CA7},,,208.31733886600
1695,VIA,VIA,O. FONTANA,ORAZIO FONTANA,FONTANA,VIA O. FONTANA,{C2DE0F99-26B1-46EA-8D35-E903D1323B91},,,180.29107892900
1640,VIA,VIA,C. FERRINI,CONTARDO FERRINI,FERRINI,VIA C. FERRINI,{EA4DF413-C169-400B-8222-80C01CC895D1},,,56.66584516850
1645,VIA,VIA,G. FILANGIERI,GAETANO FILANGIERI,FILANGIERI,VIA G. FILANGIERI,{08D63484-AF54-4699-9A68-7C36F9117816},,,496.52455977900
1650,VIA,VIA,G. FILIPPINI,GIUSEPPE FILIPPINI,FILIPPINI,VIA G. FILIPPINI,{B268B16C-326B-4C40-8EBD-1DAAA5C395ED},,,247.71433840600
1655,VIA,VIA,F. FILZI,FABIO FILZI,FILZI,VIA F. FILZI,{21FFB976-0F9E-49F0-B2C0-31E886D9DD65},,,94.03734998390
1660,VIA,VIA,G. FINALI,GASPARE FINALI,FINALI,VIA G. FINALI,{15C46A8F-195E-4AD6-9F9B-3FFD26AA812E},,,408.53199708400
1665,STR,STRADA,FIORENZUOLA FOCARA,FIORENZUOLA FOCARA,FIORENZUOLA FOCARA,STR FIORENZUOLA FOCARA,{D27FF4D3-D30D-4150-9104-D8DC00A1720A},,,709.48806794100
1670,VLE,VIALE,FIUME,FIUME,FIUME,VLE FIUME,{BB4D95DF-A1FC-4776-A47A-91C2A96D342F},,,574.83735066400
1675,VIA,VIA,FLAMINIA,FLAMINIA,FLAMINIA,VIA FLAMINIA,{01715230-3220-482B-8CDE-094129E373A3},,,1552.72250895000
1685,VIA,VIA,DELLA FONDERIA,DELLA FONDERIA,FONDERIA,VIA DELLA FONDERIA,{5FA82946-3C02-4B19-AD53-33F76EC0AB46},,,93.60893523940
1687,GALLERIA,GALLERIA,FONDITORI,DEI FONDITORI,FONDITORI,GALLERIA FONDITORI,{1A76FE30-7A66-4EFE-84FB-5CF201372903},,,183.47781785500
1690,VIA,VIA,FONSECA PIMENTEL,E.FONSECA PIMENTEL,FONSECA PIMENTEL,VIA FONSECA PIMENTEL,{AEE6A7D1-7CEF-417B-B98C-CCDF347CC793},,,363.31453438100
1700,STR,STRADA,DELLE FONTANELLE,DELLE FONTANELLE,FONTANELLE,STR DELLE FONTANELLE,{36B954E0-0D44-4D2D-9221-15C8C20A254F},,,1094.86734661000
1705,STR,STRADA,DI FONTE MAIANO,DI FONTE MAIANO,FONTE MAIANO,STR DI FONTE MAIANO,{7BA40C38-D5F5-4448-A961-09106E21A145},,,635.29096239000
1843,VIA,VIA,C. GALLONE,CARMINE GALLONE,GALLONE,VIA C. GALLONE,{DC4A458E-2D5C-4890-800B-07E418B67423},,,120.16641298100
1710,STR,STRADA,FONTE RONCAGLIA,FONTE RONCAGLIA,FONTE RONCAGLIA,STR FONTE RONCAGLIA,{08CC7506-9FC2-4649-BD9F-6D9B6999A141},,,985.78267158700
1715,STR,STRADA,DI FONTE SAIANO,DI FONTE SAIANO,FONTE SAIANO,STR DI FONTE SAIANO,{D1D5DD82-4F59-425A-AA78-01E4A37CBDE5},,,627.65997881000
1720,STR,STRADA,DI FONTESECCO,DI FONTESECCO,FONTESECCO,STR DI FONTESECCO,{C998F9B7-5560-48CF-896F-B92958770BD7},,,3007.48490837000
1725,VIA,VIA,G. FORLANI,GIUSEPPE FORLANI,FORLANI,VIA G. FORLANI,{1DCD925A-A3BD-44B2-ABE6-5D49585A9F24},,,83.37961830880
1730,VIA,VIA,C. FORLANINI,CARLO FORLANINI,FORLANINI,VIA C. FORLANINI,{509C8C7A-75E7-4442-9AFF-F36A2B99195D},,,123.89547542400
1735,VIA,VIA,FORLI',FORLI',FORLI',VIA FORLI',{7D28E947-44AC-4A53-8DA5-00B7F7D6DC6D},,,103.80290536900
1803,VIA,VIA,DEL FRUMENTO,DEL FRUMENTO,FRUMENTO,VIA DEL FRUMENTO,{B8E79DE0-E18B-42E8-B019-8FD934BCB811},,,915.91346871400
470,VIA,VIA,F. BERNI,FRANCESCO BERNI,BERNI,VIA F. BERNI,{EA380AAF-4947-46C7-972E-E7D9BA5B35C4},,,54.16244565940
1740,STR,STRADA,FORNACE MANCINI,FORNACE MANCINI,FORNACE MANCINI,STR FORNACE MANCINI,{EE77BA68-AEF7-4B36-B7C5-A224D95147B7},,,1302.04960058000
1750,STR,STRADA,DEL FORNO NUOVO,DEL FORNO NUOVO,FORNO NUOVO,STR DEL FORNO NUOVO,{E5A1FDE2-45CA-4FA1-992B-3C247AFE9C0C},,,71.85330388000
1755,STR,STRADA,FORNO VECCHIO,FORNO VECCHIO,FORNO VECCHIO,STR FORNO VECCHIO,{85F38077-5F4A-4AB5-BF5A-2C39A46D9697},,,53.45636286310
1760,VIA,VIA,P. FOSCHI,PLACIDO FOSCHI,FOSCHI,VIA P. FOSCHI,{8E3261D3-EA67-4E45-96C3-3BA853674E99},,,106.36310398700
0,,,,,,,{27F973D0-6A84-4A00-B036-93AC0EC245F6},"2005",,226.78356415700
1775,STR,STRADA,FOSSO FOGLIANO,FOSSO FOGLIANO,FOSSO FOGLIANO,STR FOSSO FOGLIANO,{710A13C5-0B33-4CB3-B74F-1E8280A89DFC},,,1057.12784526000
1780,VIA,VIA,FOSSOMBRONE,FOSSOMBRONE,FOSSOMBRONE,VIA FOSSOMBRONE,{C209B0DF-1AB4-4ECD-89A0-1136ED117E2E},,,209.03195579800
1785,VIA,VIA,F. FRATINI,FILIPPO FRATINI,FRATINI,VIA F. FRATINI,{269B52EB-3376-4288-B9F4-131AE2C9EDE2},,,202.20616572300
1795,VIA,VIA,G. FRESCOBALDI,GIROLAMO FRESCOBALDI,FRESCOBALDI,VIA G. FRESCOBALDI,{E21A53D9-6746-4FFF-A139-CCD49DD78CA9},,,224.65912678300
1805,VIA,VIA,DEI FRUTTETI,DEI FRUTTETI,FRUTTETI,VIA DEI FRUTTETI,{078C85D2-5D2B-45F0-9882-245BFBC479D8},,,302.87558090300
1810,VIA,VIA,G. FULVI,GIUSEPPE FULVI,FULVI,VIA G. FULVI,{75A7E3ED-8095-4AC7-A862-F675C62358C7},,,133.74642007000
1813,VIA,VIA,A. GABBANI,AUGUSTO GABBANI,GABBANI,VIA A. GABBANI,{8483981E-2E81-4D0B-8FC3-89B0FECCE01F},,,130.11679224400
1815,VIA,VIA,DEL GABBIANO,DEL GABBIANO,GABBIANO,VIA DEL GABBIANO,{55CA97D1-CA72-4BD0-A424-E4E6A1AE4610},,,494.77373751900
1820,VIA,VIA,GABICCE,GABICCE,GABICCE,VIA GABICCE,{326FC065-0CB3-46EF-8768-9F509C4519D7},,,121.27949757600
1830,VIA,VIA,P. GAI,PIETRO GAI,GAI,VIA P. GAI,{4DAC6856-F3CF-4FAB-8B44-5495B0EA4B0D},,,325.93022658000
1835,VIA,VIA,DELLE GALIGARIE,DELLE GALIGARIE,GALIGARIE,VIA DELLE GALIGARIE,{9A1E1055-8B34-4D4C-AB46-2466D31B25DB},,,202.05185206000
1840,VIA,VIA,G. GALILEI,GALILEO GALILEI,GALILEI,VIA G. GALILEI,{2962461B-2C0A-45A2-9A0C-6AA2F593A031},,,275.79611650100
3220,VIA,VIA,OLONA,OLONA,OLONA,VIA OLONA,{A6081095-7909-4B84-B32A-A607177539F4},,,94.81382699010
1845,VIA,VIA,A. GALLUCCI,ALESSANDRO GALLUCCI,GALLUCCI,VIA A. GALLUCCI,{D92BEE43-7F4A-46A4-B519-82C418ACE6E7},,,164.33611290100
1850,VIA,VIA,L. GALVANI,LUIGI GALVANI,GALVANI,VIA L. GALVANI,{BCCB35C6-26D9-4E6F-B10C-4B1536522ADD},,,279.21023569300
1855,VIA,VIA,M. GANDHI,MOHANDAS GANDHI,GANDHI,VIA M. GANDHI,{5B45E4E6-50A1-4D13-8CAB-37554602F8D0},,,378.15313868300
1858,VIA,VIA,DELLE GARDENIE,DELLE GARDENIE,GARDENIE,VIA DELLE GARDENIE,{7A0682F1-9495-4851-86E1-D9F80263283E},,,63.84749906100
1860,VIA,VIA,GARGATTOLI,GARGATTOLI,GARGATTOLI,VIA GARGATTOLI,{AFFB57DC-1E4B-4746-BA18-C967695A95A3},,,103.10036995300
1865,PLE,PIAZZALE,GARIBALDI,GIUSEPPE GARIBALDI,GARIBALDI,PLE GARIBALDI,{5DDD528B-7B79-40AE-AAB3-AB961A44DC0B},,,72.44400104040
1870,VIA,VIA,GARIGLIANO,GARIGLIANO,GARIGLIANO,VIA GARIGLIANO,{181649C0-3BC4-4DDA-B4AA-39CECA7CD710},,,59.69465275630
1880,VIA,VIA,L. GASPARRI,LORENZO GASPARRI,GASPARRI,VIA L. GASPARRI,{B58A64BB-8FDB-410B-8294-54AE78D89E48},,,235.12238379000
1885,VIA,VIA,A. GATTONI,ARTIDORO GATTONI,GATTONI,VIA A. GATTONI,{3AFB8B4C-1A78-49DD-84EF-2E71ACDE6965},,,415.99412333300
1887,PZA,PIAZZA,DON G.GAUDIANO,DON GIAN FRANCESCO GAUDIANO,GAUDIANO,PZA DON G.GAUDIANO,{ACA01678-CCB3-42FC-9BC6-F6922B393893},,,232.76082511700
1890,VIA,VIA,C. GAVARDINI,CARLO GAVARDINI,GAVARDINI,VIA C. GAVARDINI,{1FCB2CCB-A7B3-4293-BFB8-7A72827621C2},,,137.67540835400
1895,STR,STRADA,GAVELLA,GAVELLA,GAVELLA,STR GAVELLA,{6FC6D034-A33A-4B9C-9E0F-82FDC55A3849},,,555.19078184300
1900,VIA,VIA,N. GAVELLI,NICOLO' GAVELLI,GAVELLI,VIA N. GAVELLI,{7B8922E9-88E0-4C34-BC06-F9E038EBCA20},,,86.71405938960
1905,VIA,VIA,T. GEMINIANI,TERENZIO GEMINIANI,GEMINIANI,VIA T. GEMINIANI,{7F9DCEC9-2E47-49B7-B2AD-760AD4E28569},,,130.26450017800
1910,VIA,VIA,A. GENGA,AUGUSTO GENGA,GENGA,VIA A. GENGA,{D3AE56D2-A0ED-428E-BA05-5E05096A5749},,,85.56272569270
1915,VIA,VIA,R. GENNARI,ROMEO GENNARI,GENNARI,VIA R. GENNARI,{80F8BE09-01BD-4F05-8366-91DEA7A4C020},,,147.06852771700
1920,VIA,VIA,GENOVA,GENOVA,GENOVA,VIA GENOVA,{E91FC7E8-5625-4CEB-9869-1FBF32435047},,,127.58356680400
1924,VIA,VIA,P. GERMI,PIETRO GERMI,GERMI,VIA P. GERMI,{DCBD8416-C083-4174-B42F-C0BDBC2BC43C},,,125.05533741800
1925,VIA,VIA,R. GESSI,ROMOLO GESSI,GESSI,VIA R. GESSI,{6DEFB148-17FE-40E4-AB84-AFCAF1736C79},,,141.79588596800
1930,STR,STRADA,GHETTO RONCAGLIA,GHETTO RONCAGLIA,GHETTO RONCAGLIA,STR GHETTO RONCAGLIA,{9BEEEFD8-C6CF-44C9-BE1A-82891613EB53},,,965.77912891600
2200,VIA,VIA,G. JONNI,GIAMBATTISTA JONNI,JONNI,VIA G. JONNI,{501CFD70-0098-4B7E-827C-8CB2E927460E},,,167.20134912600
1935,STR,STRADA,GHETTO TREBBIANTICO,DI GHETTO DI TREBBIANTICO,GHETTO TREBBIANTICO,S. GHETTO TREBBIANTICO,{22D1488F-FF2A-40D7-A2F3-54CE890B6344},,,1717.61185431000
1940,STR,STRADA,DI GHETTO LAME,DI GHETTO LAME,GHETTO LAME,STR DI GHETTO LAME,{B270FD1F-2301-40EF-96FB-9B2CB98625FB},,,594.22849293900
1945,VIA,VIA,DEL GIAMBELLINO,DEL GIAMBELLINO,GIAMBELLINO,VIA DEL GIAMBELLINO,{3CFBC81C-B3C3-4AE1-9953-B8C97A1F3F80},,,202.14688635600
1950,VIA,VIA,GIANGOLINI,GIANGOLINI,GIANGOLINI,VIA GIANGOLINI,{BB3A327F-73A0-4512-8F32-A266BB5E8B9D},,,39.94293002870
1955,VIA,VIA,O. GIANSANTI,ODOARDO GIANSANTI,GIANSANTI,VIA O. GIANSANTI,{2ECDA9B8-C32A-4470-B484-6A0FAD48701B},,,173.67230974700
1960,PLE,PIAZZALE,GIGLIO,GIGLIO,GIGLIO,PLE GIGLIO,{F4CCE792-DC15-4610-9103-4363FF81DC41},,,189.52367928100
1965,VIA,VIA,C. GILI,CAMILLO GILI,GILI,VIA C. GILI,{948D0C81-BDAB-4C4E-9890-D23715019731},,,76.00585196050
1970,VIA,VIA,DELLE GINESTRE,DELLE GINESTRE,GINESTRE,VIA DELLE GINESTRE,{EC2F7DCC-6760-4BDB-8380-C9D9D8D54A4A},,,88.52836117510
1975,VIA,VIA,DELLA GINEVRA,DELLA GINEVRA,GINEVRA,VIA DELLA GINEVRA,{311B9108-AD8C-4AAC-9F3F-E51E7EC1029F},,,125.76337576000
1980,VIA,VIA,V. GIOBERTI,VINCENZO GIOBERTI,GIOBERTI,VIA V. GIOBERTI,{E94C3306-1FD8-4A21-8C2B-C08E392BA4BE},,,97.06474932560
2055,VIA,VIA,DEL GOVERNATORE,DEL GOVERNATORE,GOVERNATORE,VIA DEL GOVERNATORE,{DC670FAC-ED42-4662-AAED-C06F60F8195A},,,161.11993101700
2060,VIA,VIA,M. GOZZE,MARCANTONIO GOZZE,GOZZE,VIA M. GOZZE,{4FE89F6E-A63F-41AA-A170-E45AD2ADBDBC},,,118.72183772600
2065,VIA,VIA,GRADARA,GRADARA,GRADARA,VIA GRADARA,{F8E0F5FF-936E-46B7-B8AA-1F09F790B295},,,635.45751506200
590,VIA,VIA,I. B. BONINI,ITALO BONINO BONINI,BONINI,VIA I. B. BONINI,{18E30D53-A5CE-44AB-84F8-39B5BD437E40},,,1341.97241128000
1995,VIA,VIA,GIORDANI,GIORDANI,GIORDANI,VIA GIORDANI,{276D03C3-1010-4E68-B310-B47307C085BC},,,159.38372960400
1985,VIA,VIA,G. GIOLITTI,GIOVANNI GIOLITTI,GIOLITTI,VIA G. GIOLITTI,{AE0C4DA1-5B3F-49B8-96C5-AA68B44D8E5D},,,1039.66113974000
2005,VIA,VIA,A. GIOVAGNOLI,ALESSANDRO GIOVAGNOLI,GIOVAGNOLI,VIA A. GIOVAGNOLI,{5309E68A-6869-45BA-9EB0-3061216E255B},,,91.32165271730
2010,VIA,VIA,GIOVANELLI,GIOVANELLI,GIOVANELLI,VIA GIOVANELLI,{4469632F-C6D9-48DF-BBC1-CD60D705A197},,,41.27649627350
2013,VIA,VIA,GIOVANNI ANTONIO,GIOVANNI ANTONIO DA PESARO,GIOVANNI ANTONIO,VIA GIOVANNI ANTONIO,{14692D6F-51BA-4608-8CEB-59719D63AB68},,,81.95844447350
2015,PLE,PIAZZALE,GIOVANNI XXIII,GIOVANNI XXIII,GIOVANNI XXIII,PLE GIOVANNI XXIII,{9F213E4E-AA8B-4D13-9980-FAF5591A3287},,,172.64185965700
2017,VIA,VIA,DEI GIRASOLI,DEI GIRASOLI,GIRASOLI,VIA DEI GIRASOLI,{7C22B7B6-7764-44D4-AAAB-77136F845F05},,,403.98119162000
2020,VIA,VIA,G. GIUSTI,GIUSEPPE GIUSTI,GIUSTI,VIA G. GIUSTI,{1189DB63-7648-4655-8E93-80B58744A14F},,,257.73370454800
2025,VIA,VIA,P. GOBETTI,PIERO GOBETTI,GOBETTI,VIA P. GOBETTI,{3BD73ED0-2CF9-4308-B816-150D34149A78},,,148.75637542000
2035,VIA,VIA,C. GOLDONI,CARLO GOLDONI,GOLDONI,VIA C. GOLDONI,{F4C56A9B-8E6E-4C3F-B082-954B3AF90CE5},,,75.97114938120
2040,VIA,VIA,C. GOLGI,CAMILLO GOLGI,GOLGI,VIA C. GOLGI,{95EF9D03-70B2-4AC9-9E0B-D01119A4EB8D},,,69.47125023690
2045,STR,STRADA,DELLA GORGA,DELLA GORGA,GORGA,STR DELLA GORGA,{8BF2E96F-1618-4282-82C1-8A4B6397AC90},,,871.02393644800
2050,VLE,VIALE,GORIZIA,GORIZIA,GORIZIA,VLE GORIZIA,{B589B5C7-0D29-40A2-A194-F5B7B75821A8},,,654.07912044300
2075,VIA,VIA,GRADO,GRADO,GRADO,VIA GRADO,{AB44105B-D419-4730-9ABE-C8BCD0C82D6A},,,93.07363650870
2030,VIA,VIA,GOITO,GOITO,GOITO,VIA GOITO,{5379B966-3927-4CAC-8073-D96D3C9E57E5},,,540.88197497400
2090,VIA,VIA,G. GRAVINA,GIANVINCENZO GRAVINA,GRAVINA,VIA G. GRAVINA,{B1C23C44-4E8C-4AED-864A-D96D868CA284},,,102.02985805800
4500,VIA,VIA,TEANO,TEANO,TEANO,VIA TEANO,{3F1D3908-A66A-4CA3-ACF9-E97F6ACA050D},,,53.61074061360
2095,VIA,VIA,B. GRAZIOLI,BARTOLOMEO GRAZIOLI,GRAZIOLI,VIA B. GRAZIOLI,{3B60DE8D-6504-4E9F-96C7-FD46DA947828},,,213.77924156700
2100,VIA,VIA,G. GROSSI,GUALTIERO GROSSI,GROSSI,VIA G. GROSSI,{4D25A71C-D6C6-41A6-AF64-F33FD9CD531B},,,303.75350565000
2107,VIA,VIA,G. GUARESCHI,GIOVANNI GUARESCHI,GUARESCHI,VIA G. GUARESCHI,{65F70D73-0BBB-47C4-A551-F81925C8A8EB},,,140.31215774900
2205,VIA,VIA,J. F. KENNEDY,JOHN F. KENNEDY,KENNEDY,VIA J. F. KENNEDY,{3C56349B-BB98-4CC1-B9F5-EE33E52FCD7E},,,968.57925691300
2110,STR,STRADA,DEI GUAZZI,DEI GUAZZI,GUAZZI,STR DEI GUAZZI,{7D93EF46-8C5F-4B8E-AB3B-302A7C5AC13C},,,2320.80533340000
2115,VIA,VIA,V. GUAZZUGLI,VIRGINIA GUAZZUGLI,GUAZZUGLI,VIA V. GUAZZUGLI,{10355F14-29AF-4EB8-A595-8D7390300962},,,168.63420558000
