cod_adm,type_abb,name,denom_abb,denom_ext,denom_emp,name_abb,global_id,year_ctr,annofine,st_length
925,VIA,VIA,DEL CARSO,DEL CARSO,CARSO,VIA DEL CARSO,{397C86CD-A38F-4429-A836-BF90B51A076D},,,286.99414355400
930,VIA,VIA,N. T. CARTELLA,NICOLA TANCREDI CARTELLA,CARTELLA,VIA N. T. CARTELLA,{7E785C86-5B51-4C15-80D6-DA2A5D7A7097},,,74.77451627320
1015,VIA,VIA,G. CAVALCANTI,GUIDO CAVALCANTI,CAVALCANTI,VIA G. CAVALCANTI,{AFE14C7F-2950-46FE-92DB-28B2A00F011E},,,67.23332482820
845,VLE,VIALE,S. CANTARINI,SIMONE CANTARINI,CANTARINI,VLE S. CANTARINI,{8CA1CA15-E11F-41ED-BE9C-357AEA431246},,,331.96269891200
850,VIA,VIA,A. CANTORE,ANTONIO CANTORE,CANTORE,VIA A. CANTORE,{AC6305EA-2ECF-4487-A8BC-990D075D7C16},,,166.30451431100
855,VIA,VIA,C. CANTU',CESARE CANTU',CANTU',VIA C. CANTU',{365B1FAF-2920-494D-8D5A-69E1138B476B},,,56.06814643490
860,VIA,VIA,DELLA CAPINERA,DELLA CAPINERA,CAPINERA,VIA DELLA CAPINERA,{03950675-46C5-42A4-BD2C-296C2640074E},,,399.40722676800
865,STR,STRADA,DI CAPRILE,DI CAPRILE,CAPRILE,STR DI CAPRILE,{0EA23BCA-1AF1-4DC5-977A-B420E9318501},,,1001.90370602000
868,VIA,VIA,F. CAPRA,FRANK CAPRA,CAPRA,VIA F. CAPRA,{276549D5-04FB-42E1-8E10-3AB0D44FA44F},,,172.03104246400
870,STR,STRADA,DI CAPRILINO,DI CAPRILINO,CAPRILINO,STR DI CAPRILINO,{7C6DCF44-71BB-4DB0-A101-F55DFE640B87},,,882.69672477100
875,VIA,VIA,F. CARACCIOLO,FRANCESCO CARACCIOLO,CARACCIOLO,VIA F. CARACCIOLO,{9FD1C49E-C71D-4432-92EF-B74952745D7E},,,65.45870141610
880,VIA,VIA,DEL CARDELLINO,DEL CARDELLINO,CARDELLINO,VIA DEL CARDELLINO,{50B372F9-2F35-470A-BDC7-193608A514B8},,,148.81652718100
895,VIA,VIA,E. CARNEVALI,EUTIMIO CARNEVALI,CARNEVALI,VIA E. CARNEVALI,{81928A0A-D0A2-4182-A759-81FA3BBC516F},,,168.19595630500
900,VIA,VIA,CARNIA,CARNIA,CARNIA,VIA CARNIA,{CE10E590-6167-4E1B-9354-6DDA1A2098E7},,,337.45603700600
910,STR,STRADA,DI CARPANETO,DI CARPANETO,CARPANETO,STR DI CARPANETO,{80A427CD-6010-4380-B15E-ED2AC0D821EC},,,1536.41867471000
905,VIA,VIA,CARNICCIA,CARNICCIA,CARNICCIA,VIA CARNICCIA,{2247D21C-22F6-4BD9-B971-5924C70F3016},,,133.77396109600
937,VIA,VIA,A. CASALI,ANTONIO CASALI,CASALI,VIA A. CASALI,{72520351-0CEC-4DBC-9B15-4575DA47C734},,,386.62014462300
945,STR,STRADA,CASE BRUCIATE,CASE BRUCIATE,CASE BRUCIATE,STR CASE BRUCIATE,{7F33273F-74E3-496E-8F89-01B2E8E8CD14},,,1623.58894448000
950,VIA,VIA,A. CASELLA,ALFREDO CASELLA,CASELLA,VIA A. CASELLA,{66275325-0929-4432-9DC0-71D25AB0A61A},,,323.06999368800
955,VIA,VIA,F. CASSI,FRANCESCO CASSI,CASSI,VIA F. CASSI,{0E86B15C-0556-4200-B312-C3F54E02DCE2},,,220.98360845900
965,STR,STRADA,DEL CASTAGNETO,DEL CASTAGNETO,CASTAGNETO,STR DEL CASTAGNETO,{DC927451-5824-440B-8FBD-B434A81BB2E6},,,2425.94909414000
970,BORGATA,BORGATA,CASTELDIMEZZO,CASTELDIMEZZO,CASTELDIMEZZO,BORGATA CASTELDIMEZZO,{9DD29A56-BBE7-41CF-9AB2-B3D56AACD3CF},,,693.10656214100
975,VIA,VIA,CASTELFIDARDO,CASTELFIDARDO,CASTELFIDARDO,VIA CASTELFIDARDO,{920561B9-664E-49E9-A37C-9E3BCE0727BA},,,254.23429161200
980,VIA,VIA,V. CASTELLANI,VINCENZO CASTELLANI,CASTELLANI,VIA V. CASTELLANI,{5AA68992-9FF6-4A0B-AD9C-779BF168EBBB},,,78.24802944230
1125,VLE,VIALE,E. CIALDINI,ENRICO CIALDINI,CIALDINI,VLE E. CIALDINI,{5AC38E43-9309-4297-8318-CF91D3FC7442},,,174.24455722400
1135,VIA,VIA,A. CICOGNANI,ANTONIO CICOGNANI,CICOGNANI,VIA A. CICOGNANI,{24082E82-CAC6-4B57-9D03-57424686EF89},,,264.15567027400
985,VIA,VIA,CASTELLO ABITATO,CASTELLO ABITATO,CASTELLO ABITATO,VIA CASTELLO ABITATO,{78C824DE-5269-4828-A58F-F33288E03040},,,490.87073149600
990,VIA,VIA,A. CATALANI,ALFREDO CATALANI,CATALANI,VIA A. CATALANI,{BD2DC8C5-E0AF-487D-A4E1-EE4546217063},,,194.21981507400
995,VIA,VIA,CATTABRIGHE,CATTABRIGHE,CATTABRIGHE,VIA CATTABRIGHE,{AF36BB34-E7F5-4B72-BA8C-A906CF921758},,,359.14549926200
1000,VIA,VIA,C. CATTANEO,CARLO CATTANEO,CATTANEO,VIA C. CATTANEO,{502688A2-9CAA-4C6E-BD6D-102D71FDDDA1},,,219.19446039700
1005,VIA,VIA,CATTOLICA,CATTOLICA,CATTOLICA,VIA CATTOLICA,{E23D51A5-E293-49B7-A9CC-A2ED7D639742},,,94.95191361510
1140,VIA,VIA,DEL CIGNO,DEL CIGNO,CIGNO,VIA DEL CIGNO,{2DA33CBF-6A2D-4D6A-8393-627A1F58A2DB},,,139.95315805300
1020,VLE,VIALE,F. CAVALLOTTI,FELICE CAVALLOTTI,CAVALLOTTI,VLE F. CAVALLOTTI,{D2F24D78-CB0D-4C53-A1ED-5F3CF84AF0A3},,,356.37804244500
1025,VIA,VIA,E. CAVIGLIA,ENRICO CAVIGLIA,CAVIGLIA,VIA E. CAVIGLIA,{C30E4BE8-BB39-4591-8648-A6652BD1D67C},,,63.59768898070
1030,VIA,VIA,CAVOUR,CAMILLO BENSO CAVOUR,CAVOUR,VIA CAVOUR,{3FC94C09-DCB4-4B45-AD5D-8905E63BAF01},,,196.67555810000
1035,VIA,VIA,C. CECCARELLI,CARLO CECCARELLI,CECCARELLI,VIA C. CECCARELLI,{13D50D06-CA06-49F0-9B07-7A8977101979},,,154.11468157800
1040,VLE,VIALE,A. CECCHI,ANTONIO CECCHI,CECCHI,VLE A. CECCHI,{FF0AA9C8-9E97-4C57-926E-8E3DA90C8BC9},,,541.79768655200
1045,VIA,VIA,A. CECCOLINI,ALFREDO CECCOLINI,CECCOLINI,VIA A. CECCOLINI,{F85D6D79-1315-40FC-B191-BC7B5237F2FB},,,134.26494550400
1050,VIA,VIA,CECCONI,CECCONI,CECCON I,VIA CECCONI,{75C36EEC-696D-44DE-B0D9-FEF75C9D4D50},,,43.13063400760
1055,VIA,VIA,CECINA,CECINA,CECINA,VIA CECINA,{5118B0C2-D6E3-4EB1-919E-1A3B2D429E40},,,157.49283407100
1060,VIA,VIA,CEFALONIA,CEFALONIA,CEFALONIA,VIA CEFALONIA,{CD31914E-E665-483C-A445-220B6FF4C8C9},,,87.39669076280
1132,VIA,VIA,DEI CICLAMINI,DEI CICLAMINI,CICLAMINI,VIA DEI CICLAMINI,{275C5254-7D35-48A9-9CBB-E4C12F08D115},,,52.88687639600
1145,VIA,VIA,F. CILEA,FRANCESCO CILEA,CILEA,VIA F. CILEA,{3F8B751D-3D12-49C9-8947-EB891C62F36B},,,349.45696607300
1150,VIA,VIA,DEI CILIEGI,DEI CILIEGI,CILIEGI,VIA DEI CILIEGI,{D8096AA6-6EC6-40DF-8624-BEEEA17EBEA2},,,86.96585353780
1155,VIA,VIA,D. CIMAROSA,DOMENICO CIMAROSA,CIMAROSA,VIA D. CIMAROSA,{49019E7E-64D4-4F12-B326-4A27B01F5A37},,,473.85460946800
