objectid,gistat_sez,perimeter,cod_istat,pro_com,sez2001,sez,cod_tipo,cod_stagno,cod_fiume,cod_lago,cod_laguna,cod_val_p,cod_zona_c,cod_is_amm,cod_is_lac,cod_is_mar,cod_area_s,cod_mont_d,loc,loc2001,tipo_loc,sez2011,tipo_loc_n,loc2011,cod_tipo_s,cod_asc,shape_leng,st_area_sh,st_length_
3551,0.00000000,3739.17932055,11041044,41044,410440000777.00000000,1034,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104410008.00000000,1,410440001034.00000000,4,4104440001.00000000,0,"7",782.32940219,25960.48124280000,781.69832253200
3718,0.00000000,595.38945709,11041044,41044,410440000985.00000000,985,0,0,0,0,0,0,0,0,0,0,0,0,40001,4104420024.00000000,2,410440000985.00000000,4,4104440001.00000000,0,"4",606.29283684,19593.62455930000,605.76887162200
6944,0.00000000,889.50857623,11041044,41044,410440000633.00000000,633,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000633.00000000,1,4104410008.00000000,0,"7",890.39080507,22344.65425810000,889.64700521700
6945,0.00000000,157.54133018,11041044,41044,410440000244.00006104,244,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000244.00006104,1,4104410008.00000000,0,"1",157.42910438,999.73756482500,157.29302023100
6946,0.00000000,2618.30980978,11041044,41044,410440000717.99993896,1120,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440001120.00000000,1,4104410008.00000000,5,"5",2497.10196927,309897.65134500002,2494.98939402000
6947,0.00000000,327.20204852,11041044,41044,410440000189.00000000,189,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000189.00000000,1,4104410008.00000000,0,"1",327.14877438,6322.58226254000,326.86830448100
6948,0.00000000,271.93894936,11041044,41044,410440000210.00006104,210,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000210.00006104,1,4104410008.00000000,0,"1",271.94820864,4615.37084910000,271.71451202700
7679,0.00000000,414.03244607,11041044,41044,410440000731.00000000,731,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000731.00000000,1,4104410008.00000000,0,"6",414.22606564,10567.29455870000,413.88682338300
6949,0.00000000,391.25708506,11041044,41044,410440000246.00000000,246,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000246.00000000,1,4104410008.00000000,0,"1",390.02843016,6071.44157439000,389.69066723300
6950,0.00000000,471.84301222,11041044,41044,410440000636.00000000,636,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000636.00000000,1,4104410008.00000000,0,"7",472.57049178,10652.91002550000,472.17519839000
6951,0.00000000,292.59460057,11041044,41044,410440000194.00000000,194,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000194.00000000,1,4104410008.00000000,0,"1",292.47257826,4791.40078303000,292.22280927600
6952,0.00000000,319.51933102,11041044,41044,410440000238.99993896,239,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000238.99993896,1,4104410008.00000000,0,"1",319.64042883,5662.30667445000,319.36459626000
6953,0.00000000,397.79255412,11041044,41044,410440000192.00000000,192,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000192.00000000,1,4104410008.00000000,0,"1",398.32100098,6172.63392312000,397.98010656200
6954,0.00000000,152.19003224,11041044,41044,410440000184.00000000,184,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000184.00000000,1,4104410008.00000000,0,"1",152.16543805,1488.53962286000,152.03503135500
6955,0.00000000,223.68682090,11041044,41044,410440000207.99993896,208,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000207.99993896,1,4104410008.00000000,0,"1",224.17570886,2941.26022955000,223.98348384600
6956,0.00000000,436.77511774,11041044,41044,410440000077.99993896,78,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000077.99993896,1,4104410008.00000000,0,"1",437.18490967,11347.26934360000,436.80645165600
6957,0.00000000,312.98588150,11041044,41044,410440000073.00000000,73,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000073.00000000,1,4104410008.00000000,0,"1",313.64824262,6122.68787927000,313.37728588100
6958,0.00000000,390.57971770,11041044,41044,410440000651.99993896,652,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000651.99993896,1,4104410008.00000000,0,"7",391.93261062,7441.61938081000,391.60672201200
6959,0.00000000,355.22694164,11041044,41044,410440000150.00000000,150,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000150.00000000,1,4104410008.00000000,0,"1",355.18790646,7667.10299169000,354.88387695400
6960,0.00000000,597.91981276,11041044,41044,410440000651.00000000,651,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000651.00000000,1,4104410008.00000000,0,"7",598.05480952,13739.89144760000,597.55741265900
6961,0.00000000,277.94250315,11041044,41044,410440000218.00000000,218,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000218.00000000,1,4104410008.00000000,0,"1",277.78470806,4806.97456188000,277.54500737800
6962,0.00000000,1555.84254232,11041044,41044,410440000946.00006104,946,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000946.00006104,1,4104410008.00000000,12,"7",1556.95172541,113824.97151500000,1555.68236210000
6963,0.00000000,379.22606191,11041044,41044,410440000173.99993896,174,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000173.99993896,1,4104410008.00000000,0,"1",348.92471256,6043.49367315000,348.62549669300
6964,0.00000000,545.45106199,11041044,41044,410440000146.00006104,146,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000146.00006104,1,4104410008.00000000,0,"1",544.98072368,11186.68087990000,544.51526765200
6965,0.00000000,442.58659636,11041044,41044,410440000647.00000000,647,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000647.00000000,1,4104410008.00000000,0,"7",443.07158595,9237.97096540000,442.70252765300
6966,0.00000000,287.90496403,11041044,41044,410440000132.00000000,132,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000132.00000000,1,4104410008.00000000,0,"1",286.87059648,4774.97591822000,286.62614042500
6967,0.00000000,293.59514978,11041044,41044,410440000646.00000000,646,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000646.00000000,1,4104410008.00000000,0,"7",293.68354306,4944.59197538000,293.43876643200
7678,0.00000000,386.11666021,11041044,41044,410440000736.00000000,736,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000736.00000000,1,4104410008.00000000,0,"6",386.47259929,7932.20479774000,386.15672248200
7698,0.00000000,381.47520928,11041044,41044,410440000733.00000000,733,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000733.00000000,1,4104410008.00000000,0,"6",381.70020795,8408.63305315000,381.38791935400
7680,0.00000000,3509.78138831,11041044,41044,410440000758.00000000,758,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000758.00000000,1,4104410008.00000000,12,"6",3511.97291351,604652.27610799996,3509.13806993000
7681,0.00000000,345.44178523,11041044,41044,410440000745.00000000,745,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000745.00000000,1,4104410008.00000000,0,"6",345.43406865,6742.23111667000,345.15219661800
7682,0.00000000,543.37425814,11041044,41044,410440000725.00000000,725,0,0,0,0,0,0,0,0,0,0,0,0,10008,4104410008.00000000,1,410440000725.00000000,1,4104410008.00000000,0,"6",542.79335457,14169.78362800000,542.34733920500
