vn06,codice_v,st_area_sh,st_length_,st_area__1,st_length1
AEV134,AEV134,0.00000000,0.00000000,167.62912136000,60.05405118260
AEV135,AEV135,8405.40735340,434.66810333,8405.40735343000,434.66810332600
AEV133,AEV133,0.00000000,0.00000000,123.28678405000,52.87090455490
AEV138,AEV138,297.83937780,73.52693954,297.83937778500,73.52693953450
AEV139,AEV139,605.76404598,0.00000000,605.76404599000,133.85379611400
AEV140,AEV140,789.99467544,0.00000000,789.99467545000,215.60920795900
AEV141,AEV141,0.00000000,0.00000000,6757.31089202000,410.04807776200
AEV142,AEV142,0.00000000,0.00000000,1894.79094416000,195.18705140700
AEV137,AEV137,0.00000000,0.00000000,362.49420243500,90.05079547670
AEV136,AEV136,0.00000000,0.00000000,423.31073948500,149.97146062100
AEV36,AEV36,2943.81250000,216.51657312,2943.81250000000,216.51657312400
AEV89,AEV89,158.75000000,50.57274440,158.75000000000,50.57274440040
AEV14,AEV14,6008.12500000,304.53213323,6008.12500000000,304.53213322600
AEV83,AEV83,365.24629882,85.52750466,365.24629882500,85.52750466040
AEV62,AEV62,1881.76432934,210.84449454,1881.76432934000,210.84449453900
AEV77,AEV77,1374.12933503,156.31763040,1374.12933500000,156.31763040000
AEV57,AEV57,211.80583165,67.06465901,211.80583164500,67.06465901240
AEV52,AEV52,924.64054999,146.16004949,924.64055000000,146.16004949400
AEV80,AEV80,2704.93330519,243.99597959,2704.93330520000,243.99597958700
AEV74,AEV74,446.87500000,147.65082842,446.87500000000,147.65082841500
AEV26,AEV26,981.01098201,183.29619211,981.01098200000,183.29619211000
AEV30,AEV30,7292.75672435,382.76180256,7292.75672433000,382.76180255700
AEV49,AEV49,1479.90624552,176.31915838,1479.90624553000,176.31915838300
AEV97,AEV97,905.94901585,149.84000591,905.94901585000,149.84000590400
AEV71,AEV71,11321.75000000,892.83560870,11321.75000000000,892.83560869800
AEV98,AEV98,1007.23409050,195.20914647,1007.23409050000,195.20914647100
AEV70,AEV70,4777.31250000,385.20986476,4777.31250000000,385.20986475700
AEV37,AEV37,3134.50180005,226.82136511,3134.50180000000,226.82136510700
AEV10,AEV10,1486.69984233,170.00906807,1486.69984232000,170.00906807400
AEV87,AEV87,1281.13564242,167.11384611,1281.13564241000,167.11384610700
AEV48,AEV48,4199.43750000,271.30117186,4199.43750000000,271.30117186100
AEV81,AEV81,1241.06510639,166.85102977,1241.06510638000,166.85102976500
AEV72,AEV72,424.37735950,92.65842699,424.37735950000,92.65842698650
AEV06,AEV06,1748.93750000,168.63384205,1748.93750000000,168.63384205300
AEV69,AEV69,462.60104015,86.31582504,462.60104014000,86.31582504280
AEV39,AEV39,558.00000000,107.22354696,558.00000000000,107.22354695800
AEV1E,AEV1E,1952.50885641,206.50591924,1952.50885639000,206.50591923800
AEV1F,AEV1F,150.31349597,52.07539770,150.31349596500,52.07539769570
AEV41,AEV41,693.65702049,132.92131982,693.65702050000,132.92131981900
AEV41,AEV41,388.20375000,83.92805127,388.20375000000,83.92805126750
AEV73,AEV73,11013.00475543,474.06672472,11013.00475540000,474.06672471700
AEV90,AEV90,455.12500000,88.23578179,455.12500000000,88.23578179080
AEV96,AEV96,1742.60918181,201.89412190,1742.60918180000,201.89412190000
AEV95,AEV95,32732.12500000,761.71490089,32732.12500000000,761.71490089100
AEV94,AEV94,20723.87500000,696.19237965,20723.87500000000,696.19237965100
AEV85,AEV85,467.26995475,92.24993123,467.26995476000,92.24993123040
AEV51,AEV51,1380.32801721,167.07579597,1380.32801722000,167.07579597000
AEV1J,AEV1J,5747.77921208,304.55337740,5747.77921210000,304.55337739800
AEV1K,AEV1K,5481.48367340,321.03031322,5481.48367340000,321.03031321600
AEV35,AEV35,1287.24284361,201.86740276,1287.24284364000,201.86740276300
AEV73,AEV73,203680.01089154,3144.42928020,203680.01089100001,3144.42928020000
AEV1G,AEV1G,131.23337625,54.47232275,131.23337624500,54.47232274270
AEV1A,AEV1A,3491.68061347,245.90849019,3491.68061347000,245.90849018800
AEV92,AEV92,216619.62288799,1913.60656044,216619.62288800001,1913.60656044000
AEV1H,AEV1H,211.64134804,75.30141562,211.64134803000,75.30141561380
AEV93,AEV93,12318.52042404,710.45160372,12318.52042400000,710.45160372000
AEV2A,AEV2A,29.14213454,22.42879680,29.14213454000,22.42879679940
AEV113,AEV113,582.26886626,107.57630626,582.26886627500,107.57630626600
AEV114,AEV114,366.20337022,78.35432211,366.20337021000,78.35432210780
AEV2A,AEV2A,439.46556589,107.93071462,439.46556589000,107.93071462400
AEV2B,AEV2B,382.04965235,82.69167147,382.04965237000,82.69167147330
AEV101,AEV101,6599.95930637,426.69341871,6599.95930638000,426.69341871200
AEV102,AEV102,45.63634719,27.82737872,45.63634719000,27.82737871750
AEV103,AEV103,1982.78548967,190.19012674,1982.78548967000,190.19012673900
AEV76,AEV76,3863.56012084,284.57378107,3863.56012084000,284.57378107300
AEV104,AEV104,2968.19544013,227.68449125,2968.19544015000,227.68449124900
AEV105,AEV105,2653.22655001,363.78708653,2653.22655000000,363.78708653400
AEV106,AEV106,570.11246787,111.00386005,570.11246788500,111.00386005300
AEV107,AEV107,223.70731940,63.35762075,223.70731940000,63.35762074720
